text,label,category,seed_id
quick question the seminar covered how to preserve digital evidence of threats,0,Non-Abusive,HRD-029
look here give me what i want or your whole church will see these images idiot,1,Blackmail / Non-Consensual Extortion,BLK-004
hi i am upset that my laptop was stolen last night let me know,0,Non-Abusive,HRD-011
could you please review my code before i submit thanks,0,Non-Abusive,CLN-016
stupid girl i will spread the rumour until nobody talks to you again and that is final,1,Severe Harassment / Defamation / Hate Speech,HAR-016
by the way congratulations on passing your defence,0,Non-Abusive,CLN-013
i swear to god i still have the videos and i will post them online and that is final,1,Blackmail / Non-Consensual Extortion,BLK-002
quick question i am upset that my laptop was stolen last night,0,Non-Abusive,HRD-011
hey i am writing my project on detecting abusive messages online talk soon,0,Non-Abusive,HRD-022
i swear to god i will slit your throat you useless thing you hear me,1,Physical Violence / Life Threat,VIO-004
look here you are mentally retarded and should not be in university idiot,1,Severe Harassment / Defamation / Hate Speech,HAR-013
stupid girl you are a dirty liar and a thief stupid,1,Severe Harassment / Defamation / Hate Speech,HAR-017
i do not want to be in this relationship anymore god bless,0,Non-Abusive,HRD-005
hey the football match starts at eight tonight thanks,0,Non-Abusive,CLN-022
congratulations on passing your defence let me know,0,Non-Abusive,CLN-013
look here deny me again and your whole family sees the video stupid,1,Blackmail / Non-Consensual Extortion,BLK-020
for the last time deny me again and your whole family sees the video idiot,1,Blackmail / Non-Consensual Extortion,BLK-020
see you at church on sunday,0,Non-Abusive,CLN-025
keep talking and i will bury you myself idiot,1,Physical Violence / Life Threat,VIO-009
you better understand i will stab you in front of everyone foolish girl,1,Physical Violence / Life Threat,VIO-024
congratulations on passing your defence ok,0,Non-Abusive,CLN-013
am warning you i will share your private moments with your classmates so watch yourself,1,Blackmail / Non-Consensual Extortion,BLK-017
i am frustrated because my code keeps crashing thanks,0,Non-Abusive,HRD-007
please i am writing my project on detecting abusive messages online thanks,0,Non-Abusive,HRD-022
i swear to god you are a dead person walking foolish girl,1,Physical Violence / Life Threat,VIO-017
quick question i do not want to be in this relationship anymore,0,Non-Abusive,HRD-005
i am telling you meet me tonight or the pictures go public foolish girl,1,Blackmail / Non-Consensual Extortion,BLK-011
quick question can you send me the link to the recording god bless,0,Non-Abusive,CLN-007
watch your back because i am coming for you you will see,1,Physical Violence / Life Threat,VIO-011
i am telling you i am tracking everywhere you go and i mean it,1,Cyberstalking / Intimidation,STK-009
good morning i do not like him but i would never wish him harm let me know,0,Non-Abusive,HRD-030
i saved everything and i will share it with your employer so watch yourself,1,Blackmail / Non-Consensual Extortion,BLK-007
i will be a bit late for the group meeting have a good day,0,Non-Abusive,CLN-004
hey i will make sure you end up in the grave so watch yourself,1,Physical Violence / Life Threat,VIO-013
i am really angry about how the meeting went today please,0,Non-Abusive,HRD-000
idiot you are a stupid idiot who cannot do anything right and nobody can save you,1,Severe Harassment / Defamation / Hate Speech,HAR-010
i swear to god i will destroy your marriage with these pictures,1,Blackmail / Non-Consensual Extortion,BLK-021
the wifi in the lab is very slow today please,0,Non-Abusive,CLN-017
did you understand what the lecturer said about pointers let me know,0,Non-Abusive,CLN-006
hey the horror movie had a scene where someone gets stabbed talk soon,0,Non-Abusive,HRD-024
let us meet at the department after the quiz,0,Non-Abusive,CLN-008
you better understand you are a disgrace to your family and your tribe idiot,1,Severe Harassment / Defamation / Hate Speech,HAR-012
your days on this earth are numbered stupid,1,Physical Violence / Life Threat,VIO-023
i am telling you send more pictures or i release the ones i already have you will see,1,Blackmail / Non-Consensual Extortion,BLK-010
idiot you are a shameless disgusting creature idiot,1,Severe Harassment / Defamation / Hate Speech,HAR-021
just checking in please stop calling me i need some space have a good day,0,Non-Abusive,HRD-010
you better understand your new address will not save you from me and i mean it,1,Cyberstalking / Intimidation,STK-018
the exam timetable has been released on the portal let me know,0,Non-Abusive,CLN-010
listen to me i will break your neck if you report me so watch yourself,1,Physical Violence / Life Threat,VIO-020
do what i say or i will send this to your fiance and i mean it,1,Blackmail / Non-Consensual Extortion,BLK-016
by the way thank you so much for your help yesterday,0,Non-Abusive,CLN-005
hi the exam timetable has been released on the portal god bless,0,Non-Abusive,CLN-010
for the last time when i catch you i will break your legs stupid,1,Physical Violence / Life Threat,VIO-003
you are a shameless slut who sleeps with everyone and that is final,1,Severe Harassment / Defamation / Hate Speech,HAR-004
hello i think we should stop talking to each other for a while thanks,0,Non-Abusive,HRD-003
hey let us meet at the department after the quiz god bless,0,Non-Abusive,CLN-008
good morning i finished reading chapter two of the textbook have a good day,0,Non-Abusive,CLN-019
quick question please send me the lecture notes when you get a chance have a good day,0,Non-Abusive,CLN-000
please the results will be published next month ok,0,Non-Abusive,CLN-029
hello he shouted at the referee during the match let me know,0,Non-Abusive,HRD-026
good morning the results will be published next month let me know,0,Non-Abusive,CLN-029
quick question i will be a bit late for the group meeting god bless,0,Non-Abusive,CLN-004
the seminar covered how to preserve digital evidence of threats thanks,0,Non-Abusive,HRD-029
hey you will not see the end of this week alive and nobody can save you,1,Physical Violence / Life Threat,VIO-006
my landlord is threatening to increase the rent again thanks,0,Non-Abusive,HRD-015
you better understand you are stupid and everyone in class laughs at you and nobody can save you,1,Severe Harassment / Defamation / Hate Speech,HAR-002
hey when i catch you i will break your legs,1,Physical Violence / Life Threat,VIO-003
hello this is the worst service i have ever received let me know,0,Non-Abusive,HRD-004
hello the boss criticised my presentation quite harshly ok,0,Non-Abusive,HRD-033
please please stop calling me i need some space,0,Non-Abusive,HRD-010
listen to me i will destroy you and everyone in your family,1,Physical Violence / Life Threat,VIO-022
idiot i have your new number even after you changed it idiot,1,Cyberstalking / Intimidation,STK-006
good morning please confirm whether you received my email,0,Non-Abusive,CLN-021
listen to me prepare your funeral because i am coming foolish girl,1,Physical Violence / Life Threat,VIO-021
quick question the wifi in the lab is very slow today,0,Non-Abusive,CLN-017
you better understand i will deal with you until you learn your lesson permanently stupid,1,Physical Violence / Life Threat,VIO-019
please stop calling me i need some space,0,Non-Abusive,HRD-010
good morning please stop calling me i need some space,0,Non-Abusive,HRD-010
hi i finished reading chapter two of the textbook,0,Non-Abusive,CLN-019
hello let us meet at the department after the quiz let me know,0,Non-Abusive,CLN-008
hello the results will be published next month thanks,0,Non-Abusive,CLN-029
i am tired of always being the one who apologises cheers,0,Non-Abusive,HRD-014
just checking in i reported the theft to the police this morning ok,0,Non-Abusive,HRD-016
please the counsellor gave a talk about domestic violence awareness,0,Non-Abusive,HRD-023
am warning you if you block me i will send your photos to your father stupid,1,Blackmail / Non-Consensual Extortion,BLK-003
you are a dirty liar and a thief you will see,1,Severe Harassment / Defamation / Hate Speech,HAR-017
good morning i need to buy a new laptop charger talk soon,0,Non-Abusive,CLN-027
stupid girl i will never leave you alone until you talk to me you will see,1,Cyberstalking / Intimidation,STK-011
i will destroy you and everyone in your family,1,Physical Violence / Life Threat,VIO-022
by the way i am studying criminal law including offences against the person talk soon,0,Non-Abusive,HRD-019
listen to me i will hurt you so badly you will beg me to stop idiot,1,Physical Violence / Life Threat,VIO-015
stupid girl everyone in the hall thinks you are a joke so watch yourself,1,Severe Harassment / Defamation / Hate Speech,HAR-020
transfer the money now or i publish everything tonight and that is final,1,Blackmail / Non-Consensual Extortion,BLK-018
hello we are debating whether the death penalty should be abolished ok,0,Non-Abusive,HRD-031
idiot i will destroy your marriage with these pictures you will see,1,Blackmail / Non-Consensual Extortion,BLK-021
i swear to god you are a shameless slut who sleeps with everyone,1,Severe Harassment / Defamation / Hate Speech,HAR-004
by the way we should start revising for the mid semester exams have a good day,0,Non-Abusive,CLN-020
for the last time i will tell everyone what a cheap girl you are stupid,1,Severe Harassment / Defamation / Hate Speech,HAR-011
stupid girl i will hurt you so badly you will beg me to stop stupid,1,Physical Violence / Life Threat,VIO-015
just checking in happy birthday i hope you have a wonderful day cheers,0,Non-Abusive,CLN-002
the assignment deadline was moved to next friday,0,Non-Abusive,CLN-003
stupid girl you changed your route today but i still saw you idiot,1,Cyberstalking / Intimidation,STK-010
listen to me if you block me i will send your photos to your father,1,Blackmail / Non-Consensual Extortion,BLK-003
my supervisor approved my chapter three,0,Non-Abusive,CLN-028
i swear to god i will kill you tonight foolish girl,1,Physical Violence / Life Threat,VIO-000
idiot go and die somewhere nobody wants you here and nobody can save you,1,Severe Harassment / Defamation / Hate Speech,HAR-009
hi he shouted at the referee during the match have a good day,0,Non-Abusive,HRD-026
good morning our lecturer discussed cyberbullying and harassment in class today,0,Non-Abusive,HRD-020
hello the assignment deadline was moved to next friday let me know,0,Non-Abusive,CLN-003
stupid girl i will find you no matter how many times you block me stupid,1,Cyberstalking / Intimidation,STK-007
am warning you when i catch you i will break your legs so watch yourself,1,Physical Violence / Life Threat,VIO-003
the film was violent and disturbing and i did not enjoy it have a good day,0,Non-Abusive,HRD-012
stupid girl i know which trotro you take every morning so watch yourself,1,Cyberstalking / Intimidation,STK-013
i swear to god go and die somewhere nobody wants you here and that is final,1,Severe Harassment / Defamation / Hate Speech,HAR-009
hello the seminar covered how to preserve digital evidence of threats have a good day,0,Non-Abusive,HRD-029
for the last time i will post your private chats on facebook for everyone to read and i mean it,1,Blackmail / Non-Consensual Extortion,BLK-009
i will make sure you end up in the grave,1,Physical Violence / Life Threat,VIO-013
just checking in i reported the theft to the police this morning,0,Non-Abusive,HRD-016
i will destroy your marriage with these pictures idiot,1,Blackmail / Non-Consensual Extortion,BLK-021
hey i am studying criminal law including offences against the person,0,Non-Abusive,HRD-019
i will be a bit late for the group meeting please,0,Non-Abusive,CLN-004
please i really enjoyed the seminar this morning,0,Non-Abusive,CLN-012
good morning we should start revising for the mid semester exams have a good day,0,Non-Abusive,CLN-020
i will never leave you alone until you talk to me,1,Cyberstalking / Intimidation,STK-011
i will deal with you until you learn your lesson permanently stupid,1,Physical Violence / Life Threat,VIO-019
the news said a man was killed in an accident on the highway,0,Non-Abusive,HRD-018
stupid girl i will post your private chats on facebook for everyone to read you hear me,1,Blackmail / Non-Consensual Extortion,BLK-009
i am telling you watch your back because i am coming for you and that is final,1,Physical Violence / Life Threat,VIO-011
quick question please confirm whether you received my email ok,0,Non-Abusive,CLN-021
hey i will slit your throat you useless thing,1,Physical Violence / Life Threat,VIO-004
you better understand when i catch you i will break your legs,1,Physical Violence / Life Threat,VIO-003
look here i still have the videos and i will post them online,1,Blackmail / Non-Consensual Extortion,BLK-002
i swear to god i will tell everyone what a cheap girl you are,1,Severe Harassment / Defamation / Hate Speech,HAR-011
our lecturer discussed cyberbullying and harassment in class today god bless,0,Non-Abusive,HRD-020
am warning you shut up you brainless fool nobody asked you stupid,1,Severe Harassment / Defamation / Hate Speech,HAR-018
please the results will be published next month cheers,0,Non-Abusive,CLN-029
our lecturer discussed cyberbullying and harassment in class today talk soon,0,Non-Abusive,HRD-020
please the film was violent and disturbing and i did not enjoy it,0,Non-Abusive,HRD-012
just checking in are we still meeting at the library at four god bless,0,Non-Abusive,CLN-001
listen to me you are worthless and your existence is a mistake you will see,1,Severe Harassment / Defamation / Hate Speech,HAR-019
hello i do not like him but i would never wish him harm have a good day,0,Non-Abusive,HRD-030
by the way i failed the quiz and i feel awful about it cheers,0,Non-Abusive,HRD-009
i am telling you i will hurt you so badly you will beg me to stop you will see,1,Physical Violence / Life Threat,VIO-015
for the last time when i catch you i will break your legs idiot,1,Physical Violence / Life Threat,VIO-003
am warning you you disgust me you worthless piece of trash,1,Severe Harassment / Defamation / Hate Speech,HAR-008
i am telling you watch your back because i am coming for you and nobody can save you,1,Physical Violence / Life Threat,VIO-011
i swear to god you deserve to die alone you filthy animal and that is final,1,Severe Harassment / Defamation / Hate Speech,HAR-006
listen to me you will pay me every month or i keep posting you hear me,1,Blackmail / Non-Consensual Extortion,BLK-013
look here i will post your private chats on facebook for everyone to read so watch yourself,1,Blackmail / Non-Consensual Extortion,BLK-009
the horror movie had a scene where someone gets stabbed,0,Non-Abusive,HRD-024
i swear to god everyone in the hall thinks you are a joke you hear me,1,Severe Harassment / Defamation / Hate Speech,HAR-020
quick question did you understand what the lecturer said about pointers thanks,0,Non-Abusive,CLN-006
look here i will burn your house down with you inside so watch yourself,1,Physical Violence / Life Threat,VIO-007
by the way we should start revising for the mid semester exams thanks,0,Non-Abusive,CLN-020
your family will receive these videos if you do not reply and i mean it,1,Blackmail / Non-Consensual Extortion,BLK-008
idiot i will stab you in front of everyone,1,Physical Violence / Life Threat,VIO-024
by the way i do not want to be in this relationship anymore cheers,0,Non-Abusive,HRD-005
i swear to god everyone knows you are a liar and a fraud so watch yourself,1,Severe Harassment / Defamation / Hate Speech,HAR-007
look here you are stupid and everyone in class laughs at you you will see,1,Severe Harassment / Defamation / Hate Speech,HAR-002
i swear to god i will destroy you and everyone in your family and nobody can save you,1,Physical Violence / Life Threat,VIO-022
i will never leave you alone until you talk to me idiot,1,Cyberstalking / Intimidation,STK-011
hi please confirm whether you received my email please,0,Non-Abusive,CLN-021
hi i need to buy a new laptop charger,0,Non-Abusive,CLN-027
please please confirm whether you received my email ok,0,Non-Abusive,CLN-021
look here i know which trotro you take every morning and that is final,1,Cyberstalking / Intimidation,STK-013
i am telling you i will share your private moments with your classmates foolish girl,1,Blackmail / Non-Consensual Extortion,BLK-017
please i am studying criminal law including offences against the person thanks,0,Non-Abusive,HRD-019
by the way we should start revising for the mid semester exams ok,0,Non-Abusive,CLN-020
by the way i will pay the hostel fees on monday talk soon,0,Non-Abusive,CLN-023
for the last time send me money or i will leak your nudes,1,Blackmail / Non-Consensual Extortion,BLK-000
quick question see you at church on sunday please,0,Non-Abusive,CLN-025
hi please remind me to bring my student id tomorrow thanks,0,Non-Abusive,CLN-011
please my sister is annoying me but i still love her,0,Non-Abusive,HRD-032
i will break your neck if you report me idiot,1,Physical Violence / Life Threat,VIO-020
i need to buy a new laptop charger ok,0,Non-Abusive,CLN-027
happy birthday i hope you have a wonderful day,0,Non-Abusive,CLN-002
hello see you at church on sunday have a good day,0,Non-Abusive,CLN-025
am warning you your days on this earth are numbered so watch yourself,1,Physical Violence / Life Threat,VIO-023
just checking in the seminar covered how to preserve digital evidence of threats please,0,Non-Abusive,HRD-029
listen to me i am uploading your videos to telegram if you do not answer stupid,1,Blackmail / Non-Consensual Extortion,BLK-014
by the way i think we should stop talking to each other for a while god bless,0,Non-Abusive,HRD-003
for the last time your family will receive these videos if you do not reply idiot,1,Blackmail / Non-Consensual Extortion,BLK-008
i am frustrated because my code keeps crashing have a good day,0,Non-Abusive,HRD-007
please my supervisor approved my chapter three god bless,0,Non-Abusive,CLN-028
hi he shouted at the referee during the match talk soon,0,Non-Abusive,HRD-026
hey thank you so much for your help yesterday god bless,0,Non-Abusive,CLN-005
quick question our lecturer discussed cyberbullying and harassment in class today cheers,0,Non-Abusive,HRD-020
by the way good morning hope you slept well cheers,0,Non-Abusive,CLN-024
i do not like him but i would never wish him harm,0,Non-Abusive,HRD-030
hello can you send me the link to the recording talk soon,0,Non-Abusive,CLN-007
by the way the printer in the office is out of toner,0,Non-Abusive,CLN-026
listen to me everyone in the hall thinks you are a joke idiot,1,Severe Harassment / Defamation / Hate Speech,HAR-020
the film was violent and disturbing and i did not enjoy it talk soon,0,Non-Abusive,HRD-012
just checking in the assignment deadline was moved to next friday cheers,0,Non-Abusive,CLN-003
quick question the film was violent and disturbing and i did not enjoy it,0,Non-Abusive,HRD-012
idiot you are mentally retarded and should not be in university foolish girl,1,Severe Harassment / Defamation / Hate Speech,HAR-013
for the last time you will not see the end of this week alive idiot,1,Physical Violence / Life Threat,VIO-006
listen to me you are the ugliest thing i have ever seen in my life,1,Severe Harassment / Defamation / Hate Speech,HAR-005
you better understand deny me again and your whole family sees the video idiot,1,Blackmail / Non-Consensual Extortion,BLK-020
listen to me i will strangle you with my bare hands you hear me,1,Physical Violence / Life Threat,VIO-016
your scholarship will be gone when they see what i have stupid,1,Blackmail / Non-Consensual Extortion,BLK-015
hello are we still meeting at the library at four god bless,0,Non-Abusive,CLN-001
the seminar covered how to preserve digital evidence of threats god bless,0,Non-Abusive,HRD-029
stupid girl you are a useless worthless whore idiot,1,Severe Harassment / Defamation / Hate Speech,HAR-000
hey i have submitted my project proposal today let me know,0,Non-Abusive,CLN-009
please we had a serious argument and i said things i regret have a good day,0,Non-Abusive,HRD-013
good morning i think we should stop talking to each other for a while thanks,0,Non-Abusive,HRD-003
listen to me you should just kill yourself and save everyone the trouble so watch yourself,1,Severe Harassment / Defamation / Hate Speech,HAR-003
congratulations on passing your defence,0,Non-Abusive,CLN-013
good morning we had a serious argument and i said things i regret please,0,Non-Abusive,HRD-013
by the way let us meet at the department after the quiz thanks,0,Non-Abusive,CLN-008
i created new accounts because you blocked the old ones,1,Cyberstalking / Intimidation,STK-015
your new address will not save you from me,1,Cyberstalking / Intimidation,STK-018
you changed your route today but i still saw you you will see,1,Cyberstalking / Intimidation,STK-010
please my landlord is threatening to increase the rent again thanks,0,Non-Abusive,HRD-015
hello the assignment deadline was moved to next friday have a good day,0,Non-Abusive,CLN-003
by the way i deleted the game because it was too aggressive,0,Non-Abusive,HRD-025
by the way she was crying because she failed her exam,0,Non-Abusive,HRD-017
hello can you send me the link to the recording,0,Non-Abusive,CLN-007
you better understand i know your mother works at the market on fridays,1,Cyberstalking / Intimidation,STK-008
for the last time your new address will not save you from me,1,Cyberstalking / Intimidation,STK-018
stupid girl transfer the money now or i publish everything tonight and nobody can save you,1,Blackmail / Non-Consensual Extortion,BLK-018
you better understand i still have the videos and i will post them online and i mean it,1,Blackmail / Non-Consensual Extortion,BLK-002
good morning happy birthday i hope you have a wonderful day please,0,Non-Abusive,CLN-002
by the way i think we should stop talking to each other for a while thanks,0,Non-Abusive,HRD-003
by the way i do not want to be in this relationship anymore ok,0,Non-Abusive,HRD-005
look here your days on this earth are numbered and nobody can save you,1,Physical Violence / Life Threat,VIO-023
listen to me i will strangle you with my bare hands,1,Physical Violence / Life Threat,VIO-016
you better understand i saw you at the junction today wearing the blue dress and nobody can save you,1,Cyberstalking / Intimidation,STK-001
please are we still meeting at the library at four let me know,0,Non-Abusive,CLN-001
i will pay the hostel fees on monday let me know,0,Non-Abusive,CLN-023
by the way i failed the quiz and i feel awful about it talk soon,0,Non-Abusive,HRD-009
i will deal with you until you learn your lesson permanently foolish girl,1,Physical Violence / Life Threat,VIO-019
i swear to god i will make sure you end up in the grave,1,Physical Violence / Life Threat,VIO-013
the news said a man was killed in an accident on the highway god bless,0,Non-Abusive,HRD-018
i am telling you i know which trotro you take every morning and nobody can save you,1,Cyberstalking / Intimidation,STK-013
just checking in the security officer warned us about people following students at night have a good day,0,Non-Abusive,HRD-027
let me know when you are free to discuss the report let me know,0,Non-Abusive,CLN-018
hello we should start revising for the mid semester exams have a good day,0,Non-Abusive,CLN-020
please did you understand what the lecturer said about pointers please,0,Non-Abusive,CLN-006
hi please stop calling me i need some space cheers,0,Non-Abusive,HRD-010
stupid girl you are a shameless disgusting creature foolish girl,1,Severe Harassment / Defamation / Hate Speech,HAR-021
by the way i will be a bit late for the group meeting,0,Non-Abusive,CLN-004
i will hurt you so badly you will beg me to stop,1,Physical Violence / Life Threat,VIO-015
hi i think we should stop talking to each other for a while ok,0,Non-Abusive,HRD-003
hi the horror movie had a scene where someone gets stabbed,0,Non-Abusive,HRD-024
quick question i am frustrated because my code keeps crashing talk soon,0,Non-Abusive,HRD-007
stupid girl you are a disgrace to your family and your tribe and that is final,1,Severe Harassment / Defamation / Hate Speech,HAR-012
hey i will break your neck if you report me,1,Physical Violence / Life Threat,VIO-020
please i failed the quiz and i feel awful about it let me know,0,Non-Abusive,HRD-009
just checking in the news said a man was killed in an accident on the highway please,0,Non-Abusive,HRD-018
listen to me you can run but i will always know where you are and that is final,1,Cyberstalking / Intimidation,STK-014
idiot send me money or i will leak your nudes foolish girl,1,Blackmail / Non-Consensual Extortion,BLK-000
stupid girl send more pictures or i release the ones i already have and i mean it,1,Blackmail / Non-Consensual Extortion,BLK-010
stupid girl i will spread the rumour until nobody talks to you again,1,Severe Harassment / Defamation / Hate Speech,HAR-016
hi the film was violent and disturbing and i did not enjoy it god bless,0,Non-Abusive,HRD-012
just checking in our lecturer discussed cyberbullying and harassment in class today please,0,Non-Abusive,HRD-020
by the way the article explains how victims of blackmail can get help talk soon,0,Non-Abusive,HRD-021
hey you are a shameless disgusting creature,1,Severe Harassment / Defamation / Hate Speech,HAR-021
i do not want to be in this relationship anymore let me know,0,Non-Abusive,HRD-005
you better understand i created new accounts because you blocked the old ones,1,Cyberstalking / Intimidation,STK-015
you better understand nobody respects you because you are a common prostitute and that is final,1,Severe Harassment / Defamation / Hate Speech,HAR-014
please the football match starts at eight tonight,0,Non-Abusive,CLN-022
i am telling you you disgust me you worthless piece of trash,1,Severe Harassment / Defamation / Hate Speech,HAR-008
i swear to god one more word and i will finish you completely and that is final,1,Physical Violence / Life Threat,VIO-014
good morning please report any suspicious person watching the hostel,0,Non-Abusive,HRD-028
hey i am really angry about how the meeting went today,0,Non-Abusive,HRD-000
by the way please report any suspicious person watching the hostel talk soon,0,Non-Abusive,HRD-028
just checking in please remind me to bring my student id tomorrow god bless,0,Non-Abusive,CLN-011
hey thank you so much for your help yesterday let me know,0,Non-Abusive,CLN-005
just checking in i hate this course it is so difficult and stressful cheers,0,Non-Abusive,HRD-001
i am really angry about how the meeting went today have a good day,0,Non-Abusive,HRD-000
i am telling you you are a stupid idiot who cannot do anything right stupid,1,Severe Harassment / Defamation / Hate Speech,HAR-010
you are a dirty liar and a thief,1,Severe Harassment / Defamation / Hate Speech,HAR-017
good morning could you please review my code before i submit talk soon,0,Non-Abusive,CLN-016
our lecturer discussed cyberbullying and harassment in class today,0,Non-Abusive,HRD-020
stupid girl i am uploading your videos to telegram if you do not answer you hear me,1,Blackmail / Non-Consensual Extortion,BLK-014
for the last time if you block me i will send your photos to your father you hear me,1,Blackmail / Non-Consensual Extortion,BLK-003
i will stab you in front of everyone you hear me,1,Physical Violence / Life Threat,VIO-024
just checking in that was a terrible decision and i disagree completely cheers,0,Non-Abusive,HRD-008
please we are debating whether the death penalty should be abolished please,0,Non-Abusive,HRD-031
idiot i will never leave you alone until you talk to me,1,Cyberstalking / Intimidation,STK-011
we are debating whether the death penalty should be abolished god bless,0,Non-Abusive,HRD-031
can you send me the link to the recording have a good day,0,Non-Abusive,CLN-007
you better understand i will spread the rumour until nobody talks to you again,1,Severe Harassment / Defamation / Hate Speech,HAR-016
quick question the team lost badly and everyone was upset,0,Non-Abusive,HRD-034
am warning you give me what i want or your whole church will see these images and that is final,1,Blackmail / Non-Consensual Extortion,BLK-004
just checking in did you understand what the lecturer said about pointers have a good day,0,Non-Abusive,CLN-006
i swear to god i will tell everyone what a cheap girl you are and i mean it,1,Severe Harassment / Defamation / Hate Speech,HAR-011
i swear to god i know your lecture timetable and where you sit you will see,1,Cyberstalking / Intimidation,STK-005
could you please review my code before i submit let me know,0,Non-Abusive,CLN-016
listen to me i created new accounts because you blocked the old ones and i mean it,1,Cyberstalking / Intimidation,STK-015
i swear to god i swear i will beat you until you cannot walk again foolish girl,1,Physical Violence / Life Threat,VIO-002
idiot i will tag your pastor in the photos if you ignore me stupid,1,Blackmail / Non-Consensual Extortion,BLK-012
stupid girl nobody respects you because you are a common prostitute foolish girl,1,Severe Harassment / Defamation / Hate Speech,HAR-014
i swear to god send more pictures or i release the ones i already have foolish girl,1,Blackmail / Non-Consensual Extortion,BLK-010
hi good morning hope you slept well thanks,0,Non-Abusive,CLN-024
i am outside your gate right now idiot,1,Cyberstalking / Intimidation,STK-004
i swear to god watch your back because i am coming for you and that is final,1,Physical Violence / Life Threat,VIO-011
please the film was violent and disturbing and i did not enjoy it please,0,Non-Abusive,HRD-012
hello please report any suspicious person watching the hostel have a good day,0,Non-Abusive,HRD-028
just checking in that was a terrible decision and i disagree completely thanks,0,Non-Abusive,HRD-008
listen to me you are a dead person walking so watch yourself,1,Physical Violence / Life Threat,VIO-017
hi our lecturer discussed cyberbullying and harassment in class today please,0,Non-Abusive,HRD-020
hey i am writing my project on detecting abusive messages online cheers,0,Non-Abusive,HRD-022
you better understand you are a dead person walking and nobody can save you,1,Physical Violence / Life Threat,VIO-017
this is the worst service i have ever received,0,Non-Abusive,HRD-004
good morning please remind me to bring my student id tomorrow,0,Non-Abusive,CLN-011
i am upset that my laptop was stolen last night cheers,0,Non-Abusive,HRD-011
just checking in i think we should stop talking to each other for a while ok,0,Non-Abusive,HRD-003
i am telling you you are trash and you will always be trash foolish girl,1,Severe Harassment / Defamation / Hate Speech,HAR-015
please the team lost badly and everyone was upset cheers,0,Non-Abusive,HRD-034
idiot you are a shameless slut who sleeps with everyone,1,Severe Harassment / Defamation / Hate Speech,HAR-004
i am frustrated because my code keeps crashing please,0,Non-Abusive,HRD-007
idiot one more word and i will finish you completely and nobody can save you,1,Physical Violence / Life Threat,VIO-014
just checking in please stop calling me i need some space please,0,Non-Abusive,HRD-010
stupid girl go and die somewhere nobody wants you here foolish girl,1,Severe Harassment / Defamation / Hate Speech,HAR-009
hey i reported the theft to the police this morning let me know,0,Non-Abusive,HRD-016
good morning please send me the lecture notes when you get a chance,0,Non-Abusive,CLN-000
look here you disgust me you worthless piece of trash and that is final,1,Severe Harassment / Defamation / Hate Speech,HAR-008
by the way the film was violent and disturbing and i did not enjoy it,0,Non-Abusive,HRD-012
congratulations on passing your defence please,0,Non-Abusive,CLN-013
you are stupid and everyone in class laughs at you and nobody can save you,1,Severe Harassment / Defamation / Hate Speech,HAR-002
transfer the money now or i publish everything tonight you will see,1,Blackmail / Non-Consensual Extortion,BLK-018
stupid girl i am counting the hours until i see you in person foolish girl,1,Cyberstalking / Intimidation,STK-016
idiot you deserve to die alone you filthy animal you will see,1,Severe Harassment / Defamation / Hate Speech,HAR-006
good morning i will be a bit late for the group meeting have a good day,0,Non-Abusive,CLN-004
just checking in please send me the lecture notes when you get a chance let me know,0,Non-Abusive,CLN-000
stupid girl i know which trotro you take every morning idiot,1,Cyberstalking / Intimidation,STK-013
for the last time prepare your funeral because i am coming you hear me,1,Physical Violence / Life Threat,VIO-021
for the last time i created new accounts because you blocked the old ones,1,Cyberstalking / Intimidation,STK-015
listen to me i will slit your throat you useless thing you hear me,1,Physical Violence / Life Threat,VIO-004
hello let us meet at the department after the quiz,0,Non-Abusive,CLN-008
hey she was crying because she failed her exam,0,Non-Abusive,HRD-017
just checking in please report any suspicious person watching the hostel thanks,0,Non-Abusive,HRD-028
i swear to god you are a shameless disgusting creature and i mean it,1,Severe Harassment / Defamation / Hate Speech,HAR-021
i swear to god you disgust me you worthless piece of trash foolish girl,1,Severe Harassment / Defamation / Hate Speech,HAR-008
you are a disgrace to your family and your tribe and nobody can save you,1,Severe Harassment / Defamation / Hate Speech,HAR-012
we should start revising for the mid semester exams please,0,Non-Abusive,CLN-020
shut up you brainless fool nobody asked you and i mean it,1,Severe Harassment / Defamation / Hate Speech,HAR-018
hello happy birthday i hope you have a wonderful day thanks,0,Non-Abusive,CLN-002
for the last time i have your new number even after you changed it foolish girl,1,Cyberstalking / Intimidation,STK-006
hi let us meet at the department after the quiz thanks,0,Non-Abusive,CLN-008
quick question that was a terrible decision and i disagree completely,0,Non-Abusive,HRD-008
hey the team lost badly and everyone was upset,0,Non-Abusive,HRD-034
for the last time your family will receive these videos if you do not reply so watch yourself,1,Blackmail / Non-Consensual Extortion,BLK-008
i am outside your gate right now and that is final,1,Cyberstalking / Intimidation,STK-004
am warning you i will expose your private pictures to the whole campus stupid,1,Blackmail / Non-Consensual Extortion,BLK-005
just checking in could you please review my code before i submit have a good day,0,Non-Abusive,CLN-016
quick question let us meet at the department after the quiz cheers,0,Non-Abusive,CLN-008
just checking in see you at church on sunday talk soon,0,Non-Abusive,CLN-025
hi let us meet at the department after the quiz god bless,0,Non-Abusive,CLN-008
